央视频道,#genre#

CCTV-1 综合,http://127.0.0.1:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2 财经,http://127.0.0.1:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3 综艺,http://127.0.0.1:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4 中文国际,http://127.0.0.1:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5 体育,http://127.0.0.1:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+ 体育赛事,http://127.0.0.1:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6 电影,http://127.0.0.1:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7 国防军事,http://127.0.0.1:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8 电视剧,http://127.0.0.1:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9 纪录,http://127.0.0.1:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10 科教,http://127.0.0.1:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11 戏曲,http://127.0.0.1:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12 社会与法,http://127.0.0.1:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13 新闻,http://127.0.0.1:35455/ysptp/cctv13.m3u8
CCTV-14 少儿,http://127.0.0.1:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15 音乐,http://127.0.0.1:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16 奥林匹克,http://127.0.0.1:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-17 农业农村,http://127.0.0.1:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-16 奥林匹克 4K,http://127.0.0.1:35455/ysptp/cctv4k16.m3u8
CCTV-兵器科技,http://111.61.236.247:9081/hls/61/index.m3u8
CCTV-第一剧场,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077f5ca035/1.m3u8?m3u8_level=2
CCTV-风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV-世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV-央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/1.m3u8?m3u8_level=2
CCTV-央视高网,http://[2409:8087:74F1:0021::0008]/270000001128/9900000094/index.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
