央视,#genre#

CCTV4K,http://192.168.10.1:5678/gudou.php?id=4005
CCTV4K-2,http://192.168.10.1:5678/gudou.php?id=CCTVHHD4K_38000
CCTV16-4K,http://192.168.10.1:5678/gudou.php?id=4010
CCTV1,http://192.168.10.1:5678/gudou.php?id=CCTV1HD_7000
CCTV2,http://192.168.10.1:5678/gudou.php?id=CCTV2HD_7000
CCTV3,http://192.168.10.1:5678/gudou.php?id=CCTV3HD_7000
CCTV4,http://192.168.10.1:5678/gudou.php?id=CCTV-4HD_7500
CCTV5,http://192.168.10.1:5678/gudou.php?id=1605_4500
CCTV5+,http://192.168.10.1:5678/gudou.php?id=1403_4500
CCTV6,http://192.168.10.1:5678/gudou.php?id=CCTV6HD_7000
CCTV7,http://192.168.10.1:5678/gudou.php?id=CCTV7HD_7000
CCTV8,http://192.168.10.1:5678/gudou.php?id=CCTV8HD_7000
CCTV9,http://192.168.10.1:5678/gudou.php?id=CCTV9HD_7000
CCTV10,http://192.168.10.1:5678/gudou.php?id=CCTV10HD_7000
CCTV11,http://192.168.10.1:5678/gudou.php?id=CCTV-11HD_7500
CCTV12,http://192.168.10.1:5678/gudou.php?id=CCTV12HD_7000
CCTV13,http://192.168.10.1:5678/gudou.php?id=1613
CCTV14,http://192.168.10.1:5678/gudou.php?id=CCTV14HD_7000
CCTV15,http://192.168.10.1:5678/gudou.php?id=CCTV-15HD_7500
CCTV16,http://192.168.10.1:5678/gudou.php?id=1617_4500
CCTV17,http://192.168.10.1:5678/gudou.php?id=CCTV17HD
CGTN,http://192.168.10.1:5678/gudou.php?id=CCTV15news_1500

广东,#genre#

广东综艺4K,http://192.168.10.1:5678/gudou.php?id=GDZYHD4K_38000
广东珠江,http://192.168.10.1:5678/gudou.php?id=gdzhujiangHD_7500
广东体育,http://192.168.10.1:5678/gudou.php?id=1413
广东经济科教,http://192.168.10.1:5678/gudou.php?id=GDjingjikejiaoHD_7000
广东新闻,http://192.168.10.1:5678/gudou.php?id=gdnews_1500
广东公共,http://192.168.10.1:5678/gudou.php?id=gdpublic_1500
广东影视,http://192.168.10.1:5678/gudou.php?id=gdyingshi_1500
广东少儿,http://192.168.10.1:5678/gudou.php?id=gdshaoer_1500

其他,#genre#

G导视高清,http://192.168.10.1:5678/gudou.php?id=GHDdaoshi_7500
重温经典,http://192.168.10.1:5678/gudou.php?id=1463
CHC高清电影,http://192.168.10.1:5678/gudou.php?id=CHCHD_7000
乐游,http://192.168.10.1:5678/gudou.php?id=quanjishiHD_7000
求索纪录,http://192.168.10.1:5678/gudou.php?id=QSJLHD_7000
求索科学,http://192.168.10.1:5678/gudou.php?id=qiusuokexueHD_7000
求索动物,http://192.168.10.1:5678/gudou.php?id=QSDWHD_7000
求索生活,http://192.168.10.1:5678/gudou.php?id=QSSHHD_7000
魅力足球,http://192.168.10.1:5678/gudou.php?id=meiliyinyueHD_7000
劲爆体育,http://192.168.10.1:5678/gudou.php?id=jinbaotiyuHD_7000
嘉佳卡通,http://192.168.10.1:5678/gudou.php?id=gdjiajiacartoon_1500
汕头综合,http://192.168.10.1:5678/gudou.php?id=shantouyitaogaoqing_4500
汕头经济生活,http://192.168.10.1:5678/gudou.php?id=shantouertaogaoqing_4500
汕头文旅体育,http://192.168.10.1:5678/gudou.php?id=2508_4500
潮州综合,http://192.168.10.1:5678/gudou.php?id=3131
潮州民生,http://192.168.10.1:5678/gudou.php?id=3132
中山综合,http://192.168.10.1:5678/gudou.php?id=3665
中山公共,http://192.168.10.1:5678/gudou.php?id=3663
