央视频道,#genre#
CCTV1 综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd/4000000
CCTV2 财经,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV3 综艺,http://php.jdshipin.com:8880/bst.php?id=cctv38m/8000000
CCTV4 中文国际,http://php.jdshipin.com:8880/bst.php?id=cctv4hd8m/8000000
CCTV5 体育,http://php.jdshipin.com:8880/bst.php?id=cctv5hd/4000000
CCTV5+ 体育赛事,http://php.jdshipin.com:8880/bst.php?id=cctv5phd/4000000
CCTV6 电影,http://php.jdshipin.com:8880/bst.php?id=cctv6hd/4000000
CCTV7 国防军事,http://php.jdshipin.com:8880/bst.php?id=cctv7hd8m/8000000
CCTV8 电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8hd8m/8000000
CCTV9 纪录,http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000
CCTV10 科教,http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000
CCTV11 戏曲,http://php.jdshipin.com:8880/bst.php?id=cctv11hd/4000000
CCTV12 社会与法,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV13 新闻,http://php.jdshipin.com:8880/bst.php?id=cctv13
CCTV14 少儿,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000
CCTV15 音乐,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV16 奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
CCTV17 农业农村,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000

五星体育,http://php.jdshipin.com:8880/bst.php?id=ssty/4000000

地方卫视,#genre#
北京卫视,http://php.jdshipin.com:8880/bst.php?id=bjwshd/4000000

广东综合,#genre#
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd8m/8000000
珠江频道,http://113.101.9.182:808/hls/55/index.m3u8
广东体育,http://113.100.72.95:8899/udp/239.77.0.112:5146
凤凰卫视,http://ali.hlspull.yximgs.com/live/huanqiuhklivetvjjpcpvuejljydjjyfjoxvchjwhjwdojjjhjjlsjhbjfhjw.flv
無線新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwjpthljjsjsjjbvdljdmnbjhdhyjyjtvbwxxw.flv
翡翠台,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwwjpthjyjtjjjxcxbfhjjfjvhdtjdvbtvjsjxjfsjjcvbctvbfc.flv
TVB星河频道,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
澳門蓮花,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejcxlvofbncvshhjsjcvndcbvdbneyjhxchjjhbnjjhjejjmlh.flv
寰宇新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivephxehmffjuxcxjvejejyhmnjjxjjhjdhnjbnxfdjfhyxw.flv

国际频道,#genre#
CNN International Europe,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8
ABC 7 Omaha NE (KETV),https://lnc-kmbc.tubi.video/playlist.m3u8
Netflix Drama,https://amazonsat.brasilstream.com.br/hls/amazonsat/index.m3u8
HBO原创,http://ali.hlspull.yximgs.com/live/huanqiuhklivetjcvsjgcjyhpvobjxclmvhjogdjbodbsjhlelevendhbosignature.flv
HBO 家庭,http://198.16.100.90:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO HD,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO強檔鉅獻,http://50.7.238.114:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
AXN,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejcxlvofbjbvbjjjfjvjhslcfybjssxsjbcjcfdvsfcbjbnjtyjxn.flv
Polsat Sport Premium PPV 6,https://rakuten-huippuelokuvat-1-eu.rakuten.wurl.tv/playlist.m3u8
NHK 華語,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8

影视频道,#genre#
CINEMAX,http://198.16.100.90:8278/cinemax_twn/playlist.m3u8?tid=MCEC1614519816145198&ct=19193&tsum=e635ddeeb683b5cbcda1319d0cc18f84
東森電影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
好萊塢電影,http://ali.hlspull.yximgs.com/live/huanqiuhklivejmpjjwdeyjsjjcjvsjfjljvjfhjuejdfjhjwjljcmbhlwjy.flv
